brand,name,option,price,rate,발색력,지속력,발림성,type,Closest_Personal_Color,x_coord,y_coord,Image URL,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,recommend_num
토니모리,토니모리 겟잇 립 라이너,코튼로즈,14000,4.9,3.0,2.9,3.0,립라이너,Spring Warm,0.02856023,-0.6042705,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/7/5136298835633021002.jpg,0.9522792,0.78174805,0.76853419,0.02856023,0.19786475,0.9522792,1
롬앤,롬앤 듀이풀 워터 틴트,코튼멜바,13000,4.733949301,2.568585643,2.032219853,2.607202085,립틴트,Spring Warm,0.21078744,0.01472782,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/6/7767235313797597939.jpg,0.88731375,0.49393258,0.461291,0.21078744,0.50736391,0.88731375,752
라카,라카 프루티 글램 틴트,콜드,19000,4.654358354,2.787530266,2.226997579,2.632566586,립틴트,Summer Cool,0.7733254,-0.18372666,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/2/3212302870578508607.jpg,0.92489726,0.55958165,0.69134261,0.7733254,0.40813667,0.92489726,807
페리페라,페리페라 워터 베어 틴트,쿨레파시,12000,4.333333333,2.333333333,2.222222222,2.777777778,립틴트,Summer Cool,0.91033617,-0.4439567,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/10/260723516074791915.jpg,0.95324519,0.69383434,0.82545434,0.91033617,0.27802165,0.95324519,284
페리페라,페리페라 오버 블러 틴트,쿨려치기,12000,4.767241379,2.74137931,2.25862069,2.969827586,립틴트,Winter Cool,0.94734078,0.23300372,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/19589435567245734.jpg,0.70141233,0.27773747,0.41170167,0.94734078,0.61650186,0.70141233,314
롬앤,롬앤 블러 퍼지 틴트,쿨로즈업,13000,4.717101558,2.704148677,2.279519429,2.664351417,립틴트,Winter Cool,0.97825814,0.1226666,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2021/10/7369594016626833629.jpg,0.64396544,0.28977907,0.33605866,0.97825814,0.5613333,0.64396544,1548
토니모리,토니모리 겟잇틴트 워터풀버터,쿨로지,16000,4.510416667,2.979166667,2.520833333,2.996527778,립틴트,Summer Cool,0.75930036,-0.3606975,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/7/8212677466034125399.jpg,0.7392073,0.48216591,0.55402819,0.75930036,0.31965125,0.7392073,5796
페리페라,페리페라 워터 베어 틴트,쿨릉도원,12000,4.806939004,2.870173475,1.803021824,2.929490767,립틴트,Summer Cool,0.97981953,-0.50523582,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/4/8609039362000564141.png,0.88958268,0.67921943,0.70406662,0.97981953,0.24738209,0.88958268,1397
3CE,3CE 레이지 팝 립 스테인,쿨리스트,18000,4.652631579,2.694736842,2.684210526,2.578947368,립틴트,Winter Cool,0.9593701,0.2461861,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/7/7478509810725006069.png,0.84393027,0.33874753,0.45905331,0.9593701,0.62309305,0.84393027,46
롬앤,롬앤 블러 퍼지 틴트,쿨링업,13000,4.756484708,2.686024003,2.315911731,2.679055362,립틴트,Winter Cool,0.97930325,-0.02224732,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/5/7477141159551149564.JPG,0.88463693,0.45271161,0.50633291,0.97930325,0.48887634,0.88463693,1955
에뛰드,에뛰드 재창조 메이커 오버립,쿨오버립,14000,4.566091954,2.635057471,2.413793103,2.683908046,립스틱,Summer Cool,0.39172934,-0.41710604,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/1727737330460018506.png,0.63454003,0.52706856,0.52433631,0.39172934,0.29144698,0.63454003,112
페리페라,페리페라 잉크 무드 글로이 밤,쿨쿨코랄,13000,4.927710843,2.144578313,2.024096386,2.915662651,립글로스,Spring Warm,0.01271523,0.0071445,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/8815670781585322746.jpg,0.91159101,0.49547868,0.45739637,0.01271523,0.50357225,0.91159101,71
페리페라,페리페라 오버 블러 틴트,쿨탕코팅,12000,4.965116279,2.6910299,2.398671096,2.524916944,립틴트,Summer Cool,0.96954895,-0.22498928,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/5246201453443010771.jpg,0.83050171,0.5247721,0.58034378,0.96954895,0.38750536,0.83050171,172
어뮤즈,어뮤즈 베베 틴트,쿨히비스커스,20000,4.380116959,2.736842105,2.397660819,2.596491228,립틴트,Summer Cool,0.94332475,-0.0891018,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/1/8094921303157020770.jpg,0.95278895,0.53177081,0.66603296,0.94332475,0.4554491,0.95278895,268
토니모리,토니모리 겟잇틴트 워터풀버터,크림티라미수,16000,4.52,2.48,2.36,2.84,립틴트,Summer Cool,0.56492385,-0.61887404,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/1524931979622815402.jpg,0.74903168,0.64376344,0.64241805,0.56492385,0.19056298,0.74903168,53
힌스,힌스 무드인핸서 워터 리퀴드 글로우,클래시컬,19000,4.203125,2.21875,2.640625,2.25,립틴트,Winter Cool,0.80970633,0.08543864,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/3/9012163883392420093.jpg,0.7496386,0.40073704,0.44960707,0.80970633,0.54271932,0.7496386,165
헤라,헤라 센슈얼 피팅 글로우 틴트,클루리스,45000,4.761904762,2.619047619,2.476190476,2.714285714,립틴트,Summer Cool,0.60149391,-0.4651351,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/6/2496276397586884148.jpg,0.81165625,0.63189029,0.62538763,0.60149391,0.26743245,0.81165625,2
헤라,헤라 루즈 클래시,클리셰,50000,5.0,2.692307692,2.615384615,2.692307692,립스틱,Summer Cool,0.97442823,-0.24841424,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/1/3454570274773112467.jpg,0.81737082,0.53577423,0.57489389,0.97442823,0.37579288,0.81737082,8
